position,trap,cell_label,score
tsa1tsa2morgan_017,2,2,0
tsa1tsa2morgan_017,9,1,0
tsa1tsa2morgan_017,15,1,0
tsa1tsa2morgan_017,17,1,0
tsa1tsa2morgan_017,24,1,0
tsa1tsa2morgan_017,25,1,1
tsa1tsa2morgan_017,27,1,1
tsa1tsa2morgan_017,29,2,0
tsa1tsa2morgan_017,32,1,1
tsa1tsa2morgan_017,33,1,0
tsa1tsa2morgan_017,35,4,0
tsa1tsa2morgan_017,36,1,1
tsa1tsa2morgan_017,40,1,0
tsa1tsa2morgan_017,46,1,0
tsa1tsa2morgan_017,49,1,0
tsa1tsa2morgan_017,53,1,0
tsa1tsa2morgan_017,54,7,0
tsa1tsa2morgan_017,55,1,0
tsa1tsa2morgan_017,56,1,0
tsa1tsa2morgan_017,58,2,0
tsa1tsa2morgan_017,64,1,0
tsa1tsa2morgan_017,65,1,0
tsa1tsa2morgan_017,67,5,0
tsa1tsa2morgan_017,68,1,0
tsa1tsa2morgan_017,69,2,0
tsa1tsa2morgan_017,70,1,0
tsa1tsa2morgan_017,74,1,0
tsa1tsa2morgan_017,78,2,0
tsa1tsa2morgan_017,82,1,0
tsa1tsa2morgan_017,83,1,0
tsa1tsa2morgan_017,83,4,0
tsa1tsa2morgan_017,86,1,0
tsa1tsa2morgan_017,90,1,0
tsa1tsa2morgan_017,90,11,0
tsa1tsa2morgan_017,91,1,0
tsa1tsa2morgan_017,97,1,0
tsa1tsa2morgan_017,98,1,0
tsa1tsa2morgan_017,99,1,0
tsa1tsa2morgan_017,101,1,1
tsa1tsa2morgan_017,104,1,0
tsa1tsa2morgan_018,1,1,0
tsa1tsa2morgan_018,4,7,0
tsa1tsa2morgan_018,10,1,0
tsa1tsa2morgan_018,12,1,0
tsa1tsa2morgan_018,14,1,1
tsa1tsa2morgan_018,15,5,0
tsa1tsa2morgan_018,22,1,0
tsa1tsa2morgan_018,26,2,0
tsa1tsa2morgan_018,28,1,0
tsa1tsa2morgan_018,34,3,0
tsa1tsa2morgan_018,36,1,1
tsa1tsa2morgan_018,37,1,0
tsa1tsa2morgan_018,41,1,0
tsa1tsa2morgan_018,42,1,0
tsa1tsa2morgan_018,43,1,0
tsa1tsa2morgan_018,44,4,0
tsa1tsa2morgan_018,45,1,0
tsa1tsa2morgan_018,47,1,0
tsa1tsa2morgan_018,49,1,1
tsa1tsa2morgan_018,50,9,0
tsa1tsa2morgan_018,51,1,0
tsa1tsa2morgan_018,52,1,0
tsa1tsa2morgan_018,53,1,0
tsa1tsa2morgan_018,54,2,0
tsa1tsa2morgan_018,55,3,0
tsa1tsa2morgan_018,59,1,0
tsa1tsa2morgan_018,61,1,1
tsa1tsa2morgan_018,63,1,0
tsa1tsa2morgan_018,65,1,0
tsa1tsa2morgan_018,66,2,0
tsa1tsa2morgan_018,69,1,0
tsa1tsa2morgan_018,70,2,1
tsa1tsa2morgan_018,72,1,0
tsa1tsa2morgan_018,73,1,0
tsa1tsa2morgan_018,74,2,0
tsa1tsa2morgan_018,74,3,0
tsa1tsa2morgan_018,75,1,0
tsa1tsa2morgan_018,75,9,0
tsa1tsa2morgan_018,76,1,0
tsa1tsa2morgan_018,79,1,1
tsa1tsa2morgan_018,80,1,0
tsa1tsa2morgan_018,81,1,0
tsa1tsa2morgan_018,81,4,0
tsa1tsa2morgan_018,82,1,0
tsa1tsa2morgan_018,84,1,1
tsa1tsa2morgan_018,85,2,0
tsa1tsa2morgan_018,86,1,1
tsa1tsa2morgan_018,87,1,1
tsa1tsa2morgan_018,88,1,0
tsa1tsa2morgan_018,90,4,0
tsa1tsa2morgan_018,93,1,0
tsa1tsa2morgan_018,94,1,0
tsa1tsa2morgan_018,94,3,0
tsa1tsa2morgan_018,95,1,1
tsa1tsa2morgan_018,97,1,0
tsa1tsa2morgan_018,101,4,0
tsa1tsa2morgan_019,2,1,0
tsa1tsa2morgan_019,6,1,0
tsa1tsa2morgan_019,14,1,0
tsa1tsa2morgan_019,21,1,0
tsa1tsa2morgan_019,23,2,0
tsa1tsa2morgan_019,26,2,0
tsa1tsa2morgan_019,32,1,0
tsa1tsa2morgan_019,34,1,0
tsa1tsa2morgan_019,37,1,0
tsa1tsa2morgan_019,39,1,1
tsa1tsa2morgan_019,41,1,0
tsa1tsa2morgan_019,42,1,0
tsa1tsa2morgan_019,43,1,0
tsa1tsa2morgan_019,46,1,0
tsa1tsa2morgan_019,47,1,0
tsa1tsa2morgan_019,50,1,0
tsa1tsa2morgan_019,52,6,0
tsa1tsa2morgan_019,53,2,0
tsa1tsa2morgan_019,55,1,0
tsa1tsa2morgan_019,58,1,0
tsa1tsa2morgan_019,59,1,0
tsa1tsa2morgan_019,60,1,0
tsa1tsa2morgan_019,61,1,0
tsa1tsa2morgan_019,62,1,0
tsa1tsa2morgan_019,64,1,0
tsa1tsa2morgan_019,66,1,0
tsa1tsa2morgan_019,71,2,0
tsa1tsa2morgan_019,75,1,0
tsa1tsa2morgan_019,76,1,1
tsa1tsa2morgan_019,80,1,0
tsa1tsa2morgan_019,81,2,0
tsa1tsa2morgan_019,82,1,1
tsa1tsa2morgan_019,83,1,0
tsa1tsa2morgan_019,83,4,0
tsa1tsa2morgan_019,85,1,1
tsa1tsa2morgan_019,85,9,0
