position,trap,cell_label,0
by4741_019,0,1,1
by4741_019,2,2,0
by4741_019,3,1,1
by4741_019,4,2,1
by4741_019,7,1,1
by4741_019,11,2,1
by4741_019,12,1,1
by4741_019,15,7,0
by4741_019,19,2,1
by4741_019,20,1,1
by4741_019,23,1,1
by4741_019,28,2,1
by4741_019,30,2,1
by4741_019,31,2,1
by4741_019,33,10,0
by4741_019,34,2,1
by4741_019,35,1,0
by4741_019,39,1,1
by4741_019,40,1,1
by4741_019,41,1,0
by4741_019,42,1,0
by4741_019,43,1,1
by4741_019,44,1,1
by4741_019,45,1,1
by4741_019,48,9,0
by4741_019,49,1,1
by4741_019,50,1,1
by4741_019,51,1,1
by4741_019,52,2,1
by4741_019,54,1,0
by4741_019,55,2,1
by4741_020,1,1,0
by4741_020,2,2,0
by4741_020,6,2,0
by4741_020,7,11,0
by4741_020,11,4,0
by4741_020,12,1,1
by4741_020,13,1,0
by4741_020,20,1,0
by4741_020,21,1,0
by4741_020,22,2,0
by4741_020,23,1,1
by4741_020,26,1,1
by4741_020,28,1,1
by4741_020,29,1,1
by4741_020,30,1,0
by4741_020,31,4,0
by4741_020,32,1,1
by4741_020,33,1,1
by4741_020,34,1,0
by4741_020,36,1,1
by4741_020,37,1,1
by4741_020,38,1,1
by4741_020,41,1,1
by4741_020,47,2,1
by4741_020,48,1,1
by4741_020,49,2,1
by4741_020,50,1,0
by4741_020,51,2,1
by4741_020,53,2,1
by4741_020,54,2,1
by4741_020,55,1,0
by4741_020,58,2,1
by4741_020,59,1,1
by4741_020,60,2,1
by4741_020,61,2,1
by4741_020,63,2,1
by4741_020,64,2,1
by4741_020,65,1,1
by4741_021,0,7,0
by4741_021,2,11,0
by4741_021,3,1,0
by4741_021,4,9,0
by4741_021,7,1,1
by4741_021,8,3,0
by4741_021,10,1,0
by4741_021,11,1,0
by4741_021,12,1,1
by4741_021,13,1,1
by4741_021,14,2,1
by4741_021,15,2,1
by4741_021,17,2,1
by4741_021,19,1,0
by4741_021,20,1,1
by4741_021,23,1,1
by4741_021,24,1,1
by4741_021,25,1,1
by4741_021,26,2,0
by4741_021,27,1,0
by4741_021,28,2,0
by4741_021,29,9,0
by4741_021,30,2,1
by4741_021,31,1,1
by4741_021,32,1,1
by4741_021,33,1,0
by4741_021,33,3,0
by4741_021,34,1,0
by4741_021,35,1,1
by4741_021,36,1,1
by4741_021,37,1,1
by4741_021,39,1,1
by4741_021,40,2,0
by4741_021,41,1,0
by4741_021,42,1,1
by4741_021,43,2,1
by4741_021,45,1,1
by4741_021,46,1,1
by4741_021,47,1,1
by4741_021,48,1,0
by4741_021,49,2,1
by4741_021,50,2,1
by4741_021,53,1,1
by4741_021,54,2,0
by4741_021,55,1,0
by4741_021,57,1,1
by4741_021,59,1,1
by4741_021,60,1,1
by4741_021,63,2,1
by4741_021,65,1,1
by4741_021,66,1,1
by4741_021,67,1,1
by4741_022,0,1,1
by4741_022,2,1,1
by4741_022,3,3,0
by4741_022,4,1,0
by4741_022,5,3,0
by4741_022,7,2,1
by4741_022,8,1,0
by4741_022,9,1,0
by4741_022,10,2,0
by4741_022,11,1,1
by4741_022,12,2,1
by4741_022,13,1,1
by4741_022,14,2,0
by4741_022,15,1,1
by4741_022,16,1,0
by4741_022,17,1,0
by4741_022,18,2,1
by4741_022,19,1,1
by4741_022,20,2,0
by4741_022,22,2,1
by4741_022,23,1,0
by4741_022,24,1,1
by4741_022,25,2,1
by4741_022,26,2,1
by4741_022,27,1,1
by4741_022,29,7,0
by4741_022,30,1,0
by4741_022,31,1,1
by4741_022,32,1,1
by4741_022,35,1,1
by4741_022,37,1,1
by4741_022,39,1,1
by4741_022,41,2,1
by4741_022,43,2,1
by4741_022,44,2,0
by4741_022,45,2,1
by4741_022,46,1,0
by4741_022,48,1,1
by4741_022,50,2,1
by4741_022,51,2,1
by4741_022,52,2,0
by4741_022,53,2,0
by4741_022,54,2,1
by4741_022,55,1,0
by4741_022,56,1,0
by4741_022,57,1,1
by4741_022,58,1,1
by4741_022,60,2,1
by4741_023,0,1,0
by4741_023,1,1,1
by4741_023,2,2,0
by4741_023,3,1,1
by4741_023,4,2,0
by4741_023,5,1,1
by4741_023,6,7,0
by4741_023,7,1,1
by4741_023,8,1,1
by4741_023,9,8,0
by4741_023,10,2,1
by4741_023,11,2,1
by4741_023,12,1,1
by4741_023,13,1,1
by4741_023,14,2,1
by4741_023,15,1,1
by4741_023,16,2,1
by4741_023,17,1,1
by4741_023,19,1,0
by4741_023,20,5,0
by4741_023,21,2,1
by4741_023,22,1,1
by4741_023,23,2,1
by4741_023,24,2,1
by4741_023,25,2,0
by4741_023,26,1,1
by4741_023,27,2,1
by4741_023,28,1,1
by4741_023,29,1,1
by4741_023,30,1,1
by4741_023,31,15,0
by4741_023,32,1,1
by4741_023,34,1,0
by4741_023,35,1,0
by4741_023,36,2,1
by4741_023,37,1,1
by4741_023,38,2,1
by4741_023,39,1,1
by4741_023,40,2,1
by4741_023,42,1,0
by4741_023,43,5,0
by4741_023,44,2,1
by4741_023,45,1,1
by4741_023,47,1,1
by4741_023,48,1,1
by4741_023,49,2,1
by4741_023,50,1,0
by4741_023,52,1,0
by4741_023,53,17,0
by4741_023,54,1,1
by4741_023,55,1,1
by4741_023,56,1,1
by4741_023,57,2,0
by4741_023,58,1,0
by4741_023,60,1,0
by4741_023,61,1,1
by4741_024,1,1,1
by4741_024,2,1,0
by4741_024,3,1,1
by4741_024,4,2,1
by4741_024,5,3,0
by4741_024,6,1,1
by4741_024,8,1,1
by4741_024,10,2,1
by4741_024,11,2,1
by4741_024,13,1,1
by4741_024,14,2,1
by4741_024,15,1,1
by4741_024,17,4,0
by4741_024,18,2,1
by4741_024,19,2,0
by4741_024,20,2,1
by4741_024,21,1,1
by4741_024,22,1,1
by4741_024,23,1,1
by4741_024,24,2,1
by4741_024,25,2,1
by4741_024,27,1,1
by4741_024,29,1,0
by4741_024,30,2,1
by4741_024,31,2,1
by4741_024,32,2,1
by4741_024,33,2,1
by4741_024,34,10,0
by4741_024,34,11,0
by4741_024,35,1,1
by4741_024,36,2,1
by4741_024,39,2,1
by4741_024,40,2,0
by4741_024,41,2,1
by4741_024,42,1,1
by4741_024,43,2,1
by4741_024,44,1,1
by4741_024,45,2,0
by4741_024,47,19,0
by4741_024,48,1,0
by4741_024,49,2,1
by4741_024,51,1,1
by4741_024,52,2,0
by4741_024,53,2,1
by4741_025,0,1,1
by4741_025,1,2,0
by4741_025,3,1,0
by4741_025,4,1,1
by4741_025,5,4,0
by4741_025,6,1,1
by4741_025,7,1,1
by4741_025,8,1,1
by4741_025,9,2,1
by4741_025,10,3,0
by4741_025,11,1,0
by4741_025,12,1,1
by4741_025,13,1,1
by4741_025,14,1,0
by4741_025,15,1,0
by4741_025,16,13,0
by4741_025,18,2,1
by4741_025,19,7,0
by4741_025,20,2,1
by4741_025,21,1,1
by4741_025,22,1,1
by4741_025,24,2,1
by4741_025,25,1,1
by4741_025,26,1,1
by4741_025,27,1,0
by4741_025,28,1,1
by4741_025,29,1,1
by4741_025,30,2,1
by4741_025,31,1,1
by4741_025,32,1,0
by4741_025,33,1,1
by4741_025,35,2,1
by4741_025,36,2,1
by4741_025,38,2,0
by4741_025,39,1,0
by4741_025,40,1,1
by4741_025,41,1,0
by4741_025,42,1,0
by4741_025,43,2,0
by4741_025,43,6,0
by4741_025,44,1,0
by4741_025,45,1,0
by4741_025,46,3,1
by4741_025,47,1,0
by4741_025,48,1,1
by4741_025,49,1,1
by4741_025,50,2,1
by4741_025,52,1,1
by4741_025,52,2,1
by4741_025,53,1,0
by4741_025,54,1,1
by4741_025,55,2,1
by4741_025,56,2,1
by4741_025,57,2,1
by4741_025,58,1,1
by4741_025,59,1,1
by4741_025,60,1,1
by4741_025,61,4,1
by4741_025,62,1,0
by4741_025,63,2,0
by4741_026,0,1,0
by4741_026,2,1,1
by4741_026,3,2,0
by4741_026,4,1,0
by4741_026,5,1,1
by4741_026,6,1,0
by4741_026,7,1,1
by4741_026,8,2,1
by4741_026,9,2,0
by4741_026,10,2,1
by4741_026,11,14,0
by4741_026,13,1,0
by4741_026,14,1,0
by4741_026,15,1,1
