position,trap,cell_label,score
htb2mCherry_014,8,39,0
htb2mCherry_014,26,3,0
htb2mCherry_014,33,1,0
htb2mCherry_014,38,1,1
htb2mCherry_014,50,13,0
htb2mCherry_014,58,11,0
htb2mCherry_014,61,1,1
htb2mCherry_014,65,1,1
htb2mCherry_014,70,1,0
htb2mCherry_014,73,2,0
htb2mCherry_014,89,1,1
htb2mCherry_014,92,2,1
htb2mCherry_014,99,2,0
htb2mCherry_015,25,2,0
htb2mCherry_015,28,1,0
htb2mCherry_015,36,1,1
htb2mCherry_015,40,4,0
htb2mCherry_015,40,11,0
htb2mCherry_015,50,2,0
htb2mCherry_015,57,1,1
htb2mCherry_015,58,1,0
htb2mCherry_015,74,2,1
htb2mCherry_015,78,2,0
htb2mCherry_016,52,1,0
htb2mCherry_016,52,8,0
htb2mCherry_016,94,1,0
htb2mCherry_016,95,2,0
htb2mCherry_017,8,1,1
htb2mCherry_017,21,1,1
htb2mCherry_017,29,4,0
htb2mCherry_017,30,1,1
htb2mCherry_017,31,11,0
htb2mCherry_017,38,8,0
htb2mCherry_017,50,11,0
htb2mCherry_017,52,9,0
htb2mCherry_017,76,2,0
htb2mCherry_017,82,1,0
htb2mCherry_017,83,1,0
htb2mCherry_017,88,8,0
htb2mCherry_017,93,2,1
htb2mCherry_017,95,8,0
htb2mCherry_017,100,10,0
htb2mCherry_017,105,2,0
htb2mCherry_018,10,1,0
htb2mCherry_018,13,1,0
htb2mCherry_018,19,1,1
htb2mCherry_018,21,1,0
htb2mCherry_018,26,1,1
htb2mCherry_018,37,2,1
htb2mCherry_018,38,5,0
htb2mCherry_018,42,2,0
htb2mCherry_018,43,3,0
htb2mCherry_018,46,1,0
htb2mCherry_018,60,2,1
htb2mCherry_018,63,1,1
htb2mCherry_018,72,1,1
htb2mCherry_018,76,1,1
htb2mCherry_018,78,5,1
htb2mCherry_018,80,8,0
htb2mCherry_018,83,28,0
htb2mCherry_019,18,1,0
htb2mCherry_019,21,1,0
htb2mCherry_019,30,1,1
htb2mCherry_019,36,2,0
htb2mCherry_019,54,2,0
htb2mCherry_019,94,15,0
htb2mCherry_019,96,9,0
htb2mCherry_019,100,9,0
htb2mCherry_020,1,2,0
htb2mCherry_020,22,1,0
htb2mCherry_020,27,1,0
htb2mCherry_020,28,1,0
htb2mCherry_020,32,1,0
htb2mCherry_020,42,2,0
htb2mCherry_020,47,5,0
htb2mCherry_020,48,14,0
htb2mCherry_020,55,1,0
htb2mCherry_020,63,2,0
htb2mCherry_020,71,10,0
htb2mCherry_020,73,2,0
htb2mCherry_020,76,4,1
htb2mCherry_020,77,2,0
htb2mCherry_020,79,2,0
htb2mCherry_020,81,4,1
htb2mCherry_020,84,3,0
htb2mCherry_020,85,2,1
htb2mCherry_020,86,1,0
htb2mCherry_020,87,4,0
htb2mCherry_020,96,1,0
htb2mCherry_020,98,11,0
htb2mCherry_021,4,1,0
htb2mCherry_021,6,4,0
htb2mCherry_021,8,1,1
htb2mCherry_021,10,2,0
htb2mCherry_021,12,2,0
htb2mCherry_021,14,1,1
htb2mCherry_021,18,9,0
htb2mCherry_021,20,31,0
htb2mCherry_021,24,3,0
htb2mCherry_021,34,8,0
htb2mCherry_021,48,1,0
htb2mCherry_021,55,7,0
htb2mCherry_021,60,1,0
htb2mCherry_021,64,1,0
htb2mCherry_021,69,6,0
htb2mCherry_021,70,4,0
htb2mCherry_021,71,1,0
htb2mCherry_021,84,6,0
htb2mCherry_022,3,1,0
htb2mCherry_022,12,2,0
htb2mCherry_022,16,1,0
htb2mCherry_022,18,3,1
htb2mCherry_022,52,8,0
htb2mCherry_022,61,36,0
htb2mCherry_022,73,1,1
htb2mCherry_022,83,2,1
htb2mCherry_022,90,10,0
htb2mCherry_022,92,13,0
htb2mCherry_023,13,2,0
htb2mCherry_023,14,2,0
htb2mCherry_023,25,36,0
htb2mCherry_023,28,1,1
htb2mCherry_023,29,2,0
htb2mCherry_023,40,5,0
htb2mCherry_023,44,1,0
htb2mCherry_023,45,1,0
htb2mCherry_023,59,1,0
htb2mCherry_023,60,1,0
htb2mCherry_023,64,2,1
htb2mCherry_023,65,1,1
htb2mCherry_023,66,1,0
htb2mCherry_023,67,1,0
htb2mCherry_023,68,1,1
htb2mCherry_023,72,2,1
htb2mCherry_023,73,1,1
htb2mCherry_023,78,1,0
htb2mCherry_023,89,7,0
htb2mCherry_023,97,6,0
htb2mCherry_024,6,2,0
htb2mCherry_024,22,1,0
htb2mCherry_024,25,2,0
htb2mCherry_024,31,1,1
htb2mCherry_024,33,2,0
htb2mCherry_024,44,1,0
htb2mCherry_024,49,6,0
htb2mCherry_024,53,1,0
htb2mCherry_024,57,10,0
htb2mCherry_024,59,2,1
htb2mCherry_024,61,1,0
htb2mCherry_024,67,1,1
htb2mCherry_024,68,2,1
htb2mCherry_024,74,6,0
htb2mCherry_024,79,1,1
htb2mCherry_024,85,27,0
htb2mCherry_024,87,1,0
htb2mCherry_024,97,3,0
htb2mCherry_024,99,1,1
htb2mCherry_025,1,1,0
htb2mCherry_025,3,4,0
htb2mCherry_025,5,3,0
htb2mCherry_025,15,1,0
htb2mCherry_025,16,6,0
htb2mCherry_025,18,1,0
htb2mCherry_025,37,3,1
htb2mCherry_025,42,11,0
htb2mCherry_025,68,1,0
htb2mCherry_025,79,3,0
htb2mCherry_025,83,4,0
htb2mCherry_025,99,47,0
htb2mCherry_026,13,5,0
