position,trap,cell_label,score
by4741_013,3,4,0
by4741_013,8,27,0
by4741_013,9,1,1
by4741_013,10,1,1
by4741_013,12,2,0
by4741_013,14,15,0
by4741_013,18,1,0
by4741_013,19,21,0
by4741_013,20,2,0
by4741_013,21,2,1
by4741_013,24,1,1
by4741_013,25,3,0
by4741_013,26,1,1
by4741_013,26,9,0
by4741_013,28,1,1
by4741_013,29,7,0
by4741_013,30,1,1
by4741_013,31,1,1
by4741_013,32,7,0
by4741_013,33,1,1
by4741_013,34,1,1
by4741_013,35,10,0
by4741_013,36,25,0
by4741_013,37,1,1
by4741_013,38,2,1
by4741_013,39,41,0
by4741_013,41,1,0
by4741_013,41,2,1
by4741_013,42,1,1
by4741_013,43,75,0
by4741_013,44,3,1
by4741_013,45,3,0
by4741_013,48,1,1
by4741_013,48,2,1
by4741_013,50,1,1
by4741_013,50,2,1
by4741_013,51,2,1
by4741_013,53,1,1
by4741_013,54,8,0
by4741_013,56,1,0
by4741_013,57,3,0
by4741_013,60,2,0
by4741_013,61,3,0
by4741_013,62,9,1
by4741_013,63,1,1
by4741_013,64,2,0
by4741_013,65,41,0
by4741_013,66,2,1
by4741_013,67,6,0
by4741_013,70,3,1
by4741_013,71,2,1
by4741_013,72,2,1
by4741_013,72,3,1
by4741_013,74,1,0
by4741_013,74,2,0
by4741_013,75,22,0
by4741_013,76,8,1
by4741_013,76,100,0
by4741_013,77,4,1
by4741_013,79,3,1
by4741_013,81,2,1
by4741_013,81,4,1
by4741_013,82,2,0
by4741_013,82,4,0
by4741_013,83,3,1
by4741_013,83,60,0
by4741_013,83,79,0
by4741_013,84,3,1
by4741_013,86,2,0
by4741_013,87,28,1
by4741_013,88,61,0
by4741_013,89,69,0
by4741_014,1,1,1
by4741_014,3,2,1
by4741_014,4,12,0
by4741_014,5,1,0
by4741_014,7,1,0
by4741_014,8,1,1
by4741_014,9,7,0
by4741_014,10,1,0
by4741_014,11,1,1
by4741_014,12,1,1
by4741_014,13,1,0
by4741_014,15,9,0
by4741_014,16,1,1
by4741_014,17,1,0
by4741_014,18,2,1
by4741_014,18,13,0
by4741_014,19,45,0
by4741_014,20,8,0
by4741_014,23,2,1
by4741_014,24,1,0
by4741_014,25,2,1
by4741_014,27,1,1
by4741_014,27,2,0
by4741_014,28,4,0
by4741_014,29,12,0
by4741_014,29,31,0
by4741_014,30,1,1
by4741_014,31,1,1
by4741_014,32,1,1
by4741_014,33,2,0
by4741_014,35,1,1
by4741_014,39,1,0
by4741_014,40,6,0
by4741_014,41,2,1
by4741_014,42,3,1
by4741_014,43,1,1
by4741_014,44,3,1
by4741_014,44,27,0
by4741_014,45,1,0
by4741_014,46,19,0
by4741_014,48,2,1
by4741_014,49,1,0
by4741_014,49,2,1
by4741_014,50,6,0
by4741_014,53,7,0
by4741_014,53,19,0
by4741_014,53,20,0
by4741_014,54,3,1
by4741_014,54,58,0
by4741_014,55,1,1
by4741_014,56,2,1
by4741_014,59,13,0
by4741_014,61,2,1
by4741_014,62,2,1
by4741_014,63,1,1
by4741_014,63,2,1
by4741_014,63,3,0
by4741_014,65,14,0
by4741_014,65,15,0
by4741_014,65,82,0
by4741_014,66,17,0
by4741_014,67,1,0
by4741_014,68,2,1
by4741_014,69,3,1
by4741_014,70,1,1
by4741_014,71,1,0
