position,trap,cell_label,score
tsa1tsa2morgan_017,0,1,0.0
tsa1tsa2morgan_017,1,1,1.0
tsa1tsa2morgan_017,4,1,0.0
tsa1tsa2morgan_017,5,1,0.0
tsa1tsa2morgan_017,6,2,0.0
tsa1tsa2morgan_017,7,1,0.0
tsa1tsa2morgan_017,10,3,0.0
tsa1tsa2morgan_017,11,3,0.0
tsa1tsa2morgan_017,12,2,1.0
tsa1tsa2morgan_017,13,2,0.0
tsa1tsa2morgan_017,15,2,1.0
tsa1tsa2morgan_017,17,3,0.0
tsa1tsa2morgan_017,18,2,0.0
tsa1tsa2morgan_017,27,1,0.0
tsa1tsa2morgan_017,27,3,0.0
tsa1tsa2morgan_017,28,1,0.0
tsa1tsa2morgan_017,30,2,0.0
tsa1tsa2morgan_017,30,7,0.0
tsa1tsa2morgan_017,31,1,0.0
tsa1tsa2morgan_017,33,6,0.0
tsa1tsa2morgan_017,34,1,0.0
tsa1tsa2morgan_017,35,3,0.0
tsa1tsa2morgan_017,36,1,1.0
tsa1tsa2morgan_017,38,2,0.0
tsa1tsa2morgan_017,40,1,0.0
tsa1tsa2morgan_017,41,2,1.0
tsa1tsa2morgan_017,41,17,0.0
tsa1tsa2morgan_017,46,2,0.0
tsa1tsa2morgan_017,47,3,0.0
tsa1tsa2morgan_017,47,4,0.0
tsa1tsa2morgan_017,49,4,0.0
tsa1tsa2morgan_017,51,1,1.0
tsa1tsa2morgan_017,52,2,0.0
tsa1tsa2morgan_017,53,1,0.0
tsa1tsa2morgan_017,56,1,0.0
tsa1tsa2morgan_017,57,1,1.0
tsa1tsa2morgan_017,61,1,0.0
tsa1tsa2morgan_017,61,6,0.0
tsa1tsa2morgan_017,63,2,1.0
tsa1tsa2morgan_017,64,7,0.0
tsa1tsa2morgan_017,65,2,0.0
tsa1tsa2morgan_017,65,10,0.0
tsa1tsa2morgan_017,67,4,0.0
tsa1tsa2morgan_017,68,1,0.0
tsa1tsa2morgan_017,69,2,0.0
tsa1tsa2morgan_017,71,13,0.0
tsa1tsa2morgan_017,72,1,0.0
tsa1tsa2morgan_017,73,1,0.0
tsa1tsa2morgan_017,74,1,0.0
tsa1tsa2morgan_017,74,3,0.0
tsa1tsa2morgan_017,75,2,1.0
tsa1tsa2morgan_017,76,12,0.0
tsa1tsa2morgan_017,77,2,1.0
tsa1tsa2morgan_017,78,1,0.0
tsa1tsa2morgan_017,79,2,0.0
tsa1tsa2morgan_017,80,1,1.0
tsa1tsa2morgan_017,80,5,0.0
tsa1tsa2morgan_017,81,5,0.0
tsa1tsa2morgan_017,83,3,1.0
tsa1tsa2morgan_017,84,2,0.0
tsa1tsa2morgan_017,84,15,0.0
tsa1tsa2morgan_017,85,1,1.0
tsa1tsa2morgan_017,85,2,0.0
tsa1tsa2morgan_017,85,7,0.0
tsa1tsa2morgan_017,86,18,0.0
tsa1tsa2morgan_017,88,2,0.0
tsa1tsa2morgan_017,89,2,1.0
tsa1tsa2morgan_017,91,3,0.0
tsa1tsa2morgan_018,1,1,0.0
tsa1tsa2morgan_018,4,3,0.0
tsa1tsa2morgan_018,6,4,0.0
tsa1tsa2morgan_018,11,1,0.0
tsa1tsa2morgan_018,12,1,0.0
tsa1tsa2morgan_018,14,3,0.0
tsa1tsa2morgan_018,18,1,0.0
tsa1tsa2morgan_018,18,8,0.0
tsa1tsa2morgan_018,19,2,0.0
tsa1tsa2morgan_018,22,1,0.0
tsa1tsa2morgan_018,25,3,0.0
tsa1tsa2morgan_018,28,1,0.0
tsa1tsa2morgan_018,28,23,0.0
tsa1tsa2morgan_018,29,3,0.0
tsa1tsa2morgan_018,32,1,0.0
tsa1tsa2morgan_018,32,3,0.0
tsa1tsa2morgan_018,34,1,0.0
tsa1tsa2morgan_018,35,1,0.0
tsa1tsa2morgan_018,36,1,0.0
tsa1tsa2morgan_018,37,8,0.0
tsa1tsa2morgan_018,38,1,0.0
tsa1tsa2morgan_018,39,2,0.0
tsa1tsa2morgan_018,41,1,0.0
tsa1tsa2morgan_018,42,2,0.0
tsa1tsa2morgan_018,44,1,0.0
tsa1tsa2morgan_018,45,2,0.0
tsa1tsa2morgan_018,46,2,0.0
tsa1tsa2morgan_018,47,1,1.0
tsa1tsa2morgan_018,50,1,1.0
tsa1tsa2morgan_018,50,8,0.0
tsa1tsa2morgan_018,52,5,0.0
tsa1tsa2morgan_018,53,1,0.0
tsa1tsa2morgan_018,55,1,0.0
tsa1tsa2morgan_018,56,1,0.0
tsa1tsa2morgan_018,57,1,0.0
tsa1tsa2morgan_018,59,2,0.0
tsa1tsa2morgan_018,60,1,0.0
tsa1tsa2morgan_018,63,1,0.0
tsa1tsa2morgan_018,64,2,0.0
tsa1tsa2morgan_018,66,1,0.0
tsa1tsa2morgan_018,67,1,0.0
tsa1tsa2morgan_018,68,1,0.0
tsa1tsa2morgan_018,69,1,0.0
tsa1tsa2morgan_018,69,12,0.0
tsa1tsa2morgan_018,72,1,0.0
tsa1tsa2morgan_018,73,1,0.0
tsa1tsa2morgan_018,74,1,1.0
tsa1tsa2morgan_018,76,1,0.0
tsa1tsa2morgan_018,79,1,0.0
tsa1tsa2morgan_018,80,1,0.0
tsa1tsa2morgan_018,81,6,1.0
tsa1tsa2morgan_018,85,6,0.0
tsa1tsa2morgan_018,86,1,1.0
tsa1tsa2morgan_018,86,2,1.0
tsa1tsa2morgan_018,90,3,0.0
tsa1tsa2morgan_018,90,5,0.0
tsa1tsa2morgan_018,91,6,0.0
tsa1tsa2morgan_018,92,7,0.0
tsa1tsa2morgan_018,93,2,0.0
tsa1tsa2morgan_018,93,3,1.0
tsa1tsa2morgan_018,94,13,0.0
tsa1tsa2morgan_018,95,1,1.0
tsa1tsa2morgan_018,95,2,1.0
tsa1tsa2morgan_018,96,3,0.0
tsa1tsa2morgan_018,99,2,1.0
tsa1tsa2morgan_018,99,3,0.0
tsa1tsa2morgan_018,99,15,0.0
tsa1tsa2morgan_019,1,1,0.0
tsa1tsa2morgan_019,2,3,0.0
tsa1tsa2morgan_019,3,1,0.0
tsa1tsa2morgan_019,4,1,0.0
tsa1tsa2morgan_019,4,4,0.0
tsa1tsa2morgan_019,5,1,0.0
tsa1tsa2morgan_019,8,1,1.0
tsa1tsa2morgan_019,9,1,0.0
tsa1tsa2morgan_019,10,1,0.0
tsa1tsa2morgan_019,11,3,0.0
tsa1tsa2morgan_019,14,1,0.0
tsa1tsa2morgan_019,20,2,0.0
tsa1tsa2morgan_019,21,1,0.0
tsa1tsa2morgan_019,22,1,1.0
tsa1tsa2morgan_019,25,9,0.0
tsa1tsa2morgan_019,26,3,0.0
tsa1tsa2morgan_019,29,1,0.0
tsa1tsa2morgan_019,30,1,0.0
tsa1tsa2morgan_019,32,1,0.0
tsa1tsa2morgan_019,32,2,0.0
tsa1tsa2morgan_019,33,1,0.0
tsa1tsa2morgan_019,34,2,0.0
tsa1tsa2morgan_019,34,5,0.0
tsa1tsa2morgan_019,41,1,0.0
tsa1tsa2morgan_019,42,1,0.0
tsa1tsa2morgan_019,43,1,1.0
tsa1tsa2morgan_019,44,2,0.0
tsa1tsa2morgan_019,44,3,0.0
tsa1tsa2morgan_019,45,1,0.0
tsa1tsa2morgan_019,47,1,0.0
tsa1tsa2morgan_019,47,7,0.0
tsa1tsa2morgan_019,48,1,0.0
tsa1tsa2morgan_019,49,6,0.0
tsa1tsa2morgan_019,50,1,0.0
tsa1tsa2morgan_019,51,2,0.0
tsa1tsa2morgan_019,53,1,1.0
tsa1tsa2morgan_019,54,2,0.0
tsa1tsa2morgan_019,57,1,0.0
tsa1tsa2morgan_019,57,4,0.0
tsa1tsa2morgan_019,59,2,0.0
tsa1tsa2morgan_019,60,1,0.0
tsa1tsa2morgan_019,62,2,0.0
tsa1tsa2morgan_019,64,4,0.0
tsa1tsa2morgan_019,65,1,0.0
tsa1tsa2morgan_019,66,2,0.0
tsa1tsa2morgan_019,67,1,0.0
tsa1tsa2morgan_019,68,2,0.0
tsa1tsa2morgan_019,69,2,0.0
tsa1tsa2morgan_019,71,1,0.0
tsa1tsa2morgan_019,74,1,
tsa1tsa2morgan_019,75,1,0.0
tsa1tsa2morgan_019,76,3,0.0
tsa1tsa2morgan_019,78,1,0.0
tsa1tsa2morgan_019,79,2,0.0
tsa1tsa2morgan_019,80,1,1.0
tsa1tsa2morgan_019,80,3,1.0
tsa1tsa2morgan_019,82,2,0.0
tsa1tsa2morgan_019,83,1,0.0
tsa1tsa2morgan_019,85,2,0.0
tsa1tsa2morgan_019,87,1,0.0
tsa1tsa2morgan_019,89,1,0.0
tsa1tsa2morgan_019,90,1,0.0
tsa1tsa2morgan_019,91,1,0.0
tsa1tsa2morgan_020,2,1,0.0
tsa1tsa2morgan_020,4,1,0.0
tsa1tsa2morgan_020,10,1,0.0
tsa1tsa2morgan_020,13,1,0.0
tsa1tsa2morgan_020,15,1,0.0
tsa1tsa2morgan_020,20,1,0.0
tsa1tsa2morgan_020,22,1,0.0
tsa1tsa2morgan_020,25,4,0.0
tsa1tsa2morgan_020,26,4,0.0
tsa1tsa2morgan_020,27,1,1.0
tsa1tsa2morgan_020,28,1,0.0
tsa1tsa2morgan_020,38,2,1.0
tsa1tsa2morgan_020,40,1,0.0
tsa1tsa2morgan_020,43,1,0.0
tsa1tsa2morgan_020,44,1,0.0
tsa1tsa2morgan_020,45,2,0.0
tsa1tsa2morgan_020,49,1,0.0
tsa1tsa2morgan_020,53,1,0.0
tsa1tsa2morgan_020,56,1,0.0
tsa1tsa2morgan_020,59,1,0.0
tsa1tsa2morgan_020,59,5,0.0
tsa1tsa2morgan_020,60,1,0.0
tsa1tsa2morgan_020,62,1,0.0
tsa1tsa2morgan_020,63,1,0.0
tsa1tsa2morgan_020,65,2,1.0
tsa1tsa2morgan_020,66,2,0.0
tsa1tsa2morgan_020,67,2,0.0
tsa1tsa2morgan_020,68,1,0.0
tsa1tsa2morgan_020,68,7,0.0
tsa1tsa2morgan_020,69,9,0.0
tsa1tsa2morgan_020,72,1,0.0
tsa1tsa2morgan_020,75,2,1.0
tsa1tsa2morgan_020,75,7,0.0
tsa1tsa2morgan_020,78,2,1.0
tsa1tsa2morgan_020,81,3,0.0
tsa1tsa2morgan_020,82,1,0.0
tsa1tsa2morgan_020,82,2,0.0
tsa1tsa2morgan_020,85,5,0.0
tsa1tsa2morgan_020,86,2,1.0
tsa1tsa2morgan_020,88,4,0.0
tsa1tsa2morgan_020,90,2,0.0
tsa1tsa2morgan_020,91,2,0.0
tsa1tsa2morgan_020,92,1,1.0
tsa1tsa2morgan_020,92,9,0.0
tsa1tsa2morgan_020,93,2,0.0
tsa1tsa2morgan_020,96,2,0.0
tsa1tsa2morgan_020,97,1,0.0
tsa1tsa2morgan_020,98,1,0.0
tsa1tsa2morgan_020,100,2,1.0
tsa1tsa2morgan_020,100,12,0.0
tsa1tsa2morgan_021,0,1,0.0
tsa1tsa2morgan_021,0,5,0.0
tsa1tsa2morgan_021,1,3,0.0
tsa1tsa2morgan_021,4,1,0.0
tsa1tsa2morgan_021,5,1,0.0
tsa1tsa2morgan_021,6,3,0.0
tsa1tsa2morgan_021,7,1,0.0
tsa1tsa2morgan_021,9,4,0.0
tsa1tsa2morgan_021,12,1,0.0
tsa1tsa2morgan_021,13,2,0.0
tsa1tsa2morgan_021,15,2,0.0
tsa1tsa2morgan_021,15,10,0.0
tsa1tsa2morgan_021,18,1,0.0
tsa1tsa2morgan_021,20,6,0.0
tsa1tsa2morgan_021,22,3,0.0
tsa1tsa2morgan_021,23,1,0.0
tsa1tsa2morgan_021,24,1,0.0
tsa1tsa2morgan_021,25,1,1.0
tsa1tsa2morgan_021,27,1,1.0
tsa1tsa2morgan_021,28,4,0.0
tsa1tsa2morgan_021,31,1,0.0
tsa1tsa2morgan_021,33,10,0.0
tsa1tsa2morgan_021,34,1,0.0
tsa1tsa2morgan_021,35,1,0.0
tsa1tsa2morgan_021,35,2,0.0
tsa1tsa2morgan_021,38,1,0.0
tsa1tsa2morgan_021,39,2,0.0
tsa1tsa2morgan_021,41,1,0.0
tsa1tsa2morgan_021,43,1,0.0
tsa1tsa2morgan_021,44,1,1.0
tsa1tsa2morgan_021,46,3,0.0
tsa1tsa2morgan_021,47,2,0.0
tsa1tsa2morgan_021,48,1,0.0
tsa1tsa2morgan_021,50,1,0.0
tsa1tsa2morgan_021,51,2,1.0
tsa1tsa2morgan_021,52,1,0.0
tsa1tsa2morgan_021,52,2,0.0
tsa1tsa2morgan_021,54,3,0.0
tsa1tsa2morgan_021,55,2,0.0
tsa1tsa2morgan_021,57,1,0.0
tsa1tsa2morgan_021,58,1,0.0
tsa1tsa2morgan_021,59,1,0.0
tsa1tsa2morgan_021,64,1,0.0
tsa1tsa2morgan_021,65,2,0.0
tsa1tsa2morgan_021,68,1,0.0
tsa1tsa2morgan_021,68,7,0.0
tsa1tsa2morgan_021,71,2,0.0
tsa1tsa2morgan_021,75,2,0.0
tsa1tsa2morgan_021,76,1,0.0
tsa1tsa2morgan_021,77,2,0.0
tsa1tsa2morgan_021,78,3,0.0
tsa1tsa2morgan_021,80,1,0.0
tsa1tsa2morgan_021,81,2,0.0
tsa1tsa2morgan_021,82,2,0.0
tsa1tsa2morgan_021,82,6,0.0
tsa1tsa2morgan_021,83,1,0.0
tsa1tsa2morgan_021,86,1,0.0
tsa1tsa2morgan_021,86,4,0.0
tsa1tsa2morgan_021,86,17,0.0
tsa1tsa2morgan_021,87,2,0.0
tsa1tsa2morgan_021,87,3,1.0
tsa1tsa2morgan_021,88,3,0.0
tsa1tsa2morgan_021,90,3,1.0
tsa1tsa2morgan_021,91,24,0.0
tsa1tsa2morgan_021,92,2,0.0
tsa1tsa2morgan_021,93,1,0.0
tsa1tsa2morgan_021,93,3,0.0
tsa1tsa2morgan_021,94,2,0.0
tsa1tsa2morgan_021,95,1,0.0
tsa1tsa2morgan_021,95,2,0.0
tsa1tsa2morgan_021,96,1,0.0
tsa1tsa2morgan_021,96,2,0.0
tsa1tsa2morgan_021,97,1,0.0
tsa1tsa2morgan_021,97,3,0.0
tsa1tsa2morgan_021,98,4,0.0
tsa1tsa2morgan_021,99,1,0.0
tsa1tsa2morgan_022,1,5,0.0
tsa1tsa2morgan_022,6,3,0.0
tsa1tsa2morgan_022,9,1,0.0
tsa1tsa2morgan_022,10,1,0.0
tsa1tsa2morgan_022,11,1,0.0
tsa1tsa2morgan_022,12,2,0.0
tsa1tsa2morgan_022,14,1,0.0
tsa1tsa2morgan_022,17,1,0.0
